backend,backend_key,n,status,fit_s,loglik_s,predict_s,wall_s,ll,ll_native,ll_comparable,rmse,q2,dloglik_n,dmean_rms
GPyTorch-BBMM-CUDA,gpt-cuda,1000,ok,0.19022406701697037,0.19513330899644643,0.18607231602072716,3.024552604998462,-882.9493776985535,-1.097561467140854,True,0.21110116098707893,0.97949560940154,0.37009202286048437,0.0002182277874383019
GPyTorch-BBMM-CUDA,gpt-cuda,2000,ok,0.7357074160245247,0.7413459329982288,0.2591945599997416,8.933857704978436,-601.3512645815483,-0.7185238124552628,True,0.095518269025831,0.9958020379327529,0.27036224095409495,0.0005852839194747343
GPyTorch-BBMM-CUDA,gpt-cuda,4000,ok,4.759232376003638,4.795897035044618,0.5703588610049337,12.920927138999104,1556.6087844311382,-0.2774506618706764,True,0.04213314917343671,0.9991832042587031,0.15678997569855857,0.00028087049160169415
GPyTorch-BBMM-CUDA,gpt-cuda,8000,"error: OutOfMemoryError('CUDA out of memory. Tried to allocate 490.00 MiB. GPU 0 has a total capacity of 7.59 GiB of which 118.81 MiB is free. Process 255851 has 137.34 MiB memory in use. Including non-PyTorch memory, this process has 6.95 GiB memory in use. Of the allocated memory 5.79 GiB is allocated by PyTorch, and 460.23 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)')",,,,97.63627021701541,,,,,,,
GPyTorch-BBMM-MKL,gpt-cpu,250,ok,0.059873229009099305,0.05966599698876962,0.07167442596983165,1.029249697981868,-331.1395339574417,-1.32595715750389,True,0.4772615428544935,0.8951958440982599,0.055594723466261486,0.00030903778775884423
GPyTorch-BBMM-MKL,gpt-cpu,500,ok,0.07880070799728855,0.08388035802636296,0.08503632998326793,1.3130220819730312,-491.7785087580223,-1.0489576952138586,True,0.3401845090409471,0.9467530557590521,0.0571130613548512,0.0003155961084439991
GPyTorch-BBMM-MKL,gpt-cpu,1000,ok,0.15745314699597657,0.17465007602004334,0.12226666900096461,2.418213367986027,-855.3784141723612,-1.0699900297487066,True,0.21110060417382565,0.9794957175686512,0.3425210593342921,0.0002869857618502814
GPyTorch-BBMM-MKL,gpt-cpu,2000,ok,0.7278228689683601,0.8041761379572563,0.5074698439566419,10.844548755034339,-593.2816706840317,-0.714488647426917,True,0.09552502276761249,0.9958014442671761,0.26632744400533664,0.0006101490657878728
GPyTorch-BBMM-MKL,gpt-cpu,4000,ok,5.0833684940007515,5.417303694004659,4.168857354961801,18.40594962000614,1549.5316702629918,-0.27922334826211725,True,0.042139256955460634,0.9991829674298858,0.1585592542405952,0.0002601958567778419
GPyTorch-BBMM-MKL,gpt-cpu,8000,ok,39.68109034199733,41.2403547919821,35.80424972000765,150.73071032296866,8905.73984705479,0.16778631198177663,True,0.021683826617463597,0.9997836596764788,0.1057337953897545,0.0003830118869232062
