backend,backend_key,n,status,fit_s,loglik_s,predict_s,update_s,wall_s,ll,ll_native,ll_comparable,rmse,q2,dloglik_n,dmean_rms
GPyTorch-BBMM-MKL,gpt-cpu,2000,ok,0.7290547419997893,0.8466001540000434,0.5334660950002217,,11.057228158000726,-608.4774819892523,-0.7220865530795272,True,0.09552502276761249,0.9958014442671761,0.2739253496579469,0.0006101490657878728
GPyTorch-BBMM-MKL,gpt-cpu,4000,ok,5.210680853999293,5.538654423999105,4.396538494000197,,19.14059902900044,1542.234863836142,-0.28104754986882974,True,0.042139256955460634,0.9991829674298858,0.16038345584730762,0.0002601958567778419
GPyTorch-BBMM-MKL,gpt-cpu,8000,ok,40.888725531999626,42.40099634700073,35.66464344999986,,152.97879448000003,8922.68813122938,0.1699048475036004,True,0.021683826617463597,0.9997836596764788,0.10361525986793071,0.0003830118869232062
GPyTorch-Cholesky-CUDA,gpt-chol-cuda,250,ok,0.005574299000727478,0.0059146539997527725,0.009545683999931498,,0.1191961030008315,-317.24085440263946,-1.2703625081881866,True,0.47726526995452423,0.8951942071882522,5.247052513368544e-09,1.459551460735204e-08
GPyTorch-Cholesky-CUDA,gpt-chol-cuda,500,ok,0.006439906000196061,0.009964380999917921,0.013513222999790742,,0.16598190599961526,-463.22198276646003,-0.9918444558788645,True,0.3401809770292285,0.9467541614405262,9.371726605422736e-09,9.542382206722963e-09
GPyTorch-Cholesky-CUDA,gpt-chol-cuda,1000,ok,0.010200538000390225,0.02953160100059904,0.025137394000012137,,0.3353889620002519,-512.8573719004129,-0.7274707938319803,True,0.21110004037876265,0.9794958270917652,1.706234377252258e-08,1.5707969160355927e-08
GPyTorch-Cholesky-CUDA,gpt-chol-cuda,2000,ok,0.02896371699989686,0.1414715269993394,0.09540741399996477,,1.367113796999547,-60.62685463824482,-0.4481605436841394,True,0.09552206945051256,0.9958017038740185,3.598244319391597e-08,2.0708536795997265e-08
GPyTorch-Cholesky-CUDA,gpt-chol-cuda,4000,ok,0.12847593400056212,0.9461540149995926,0.4862967560002289,,7.939838049000173,2183.768340296163,-0.12066065994186477,True,0.042143018098568616,0.9991828215747482,8.673230240674457e-08,4.075988020673898e-08
GPyTorch-Cholesky-CUDA,gpt-chol-cuda,8000,"error: OutOfMemoryError('CUDA out of memory. Tried to allocate 490.00 MiB. GPU 0 has a total capacity of 7.59 GiB of which 370.19 MiB is free. Including non-PyTorch memory, this process has 6.95 GiB memory in use. Of the allocated memory 6.22 GiB is allocated by PyTorch, and 27.25 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)')",,,,,3.948907378000513,,,,,,,
GPyTorch-Cholesky-MKL,gpt-chol-cpu,250,ok,0.004510516999289393,0.004714046999652055,0.008203989999856276,,0.09434031599994341,-317.24085440263946,-1.2703625081881866,True,0.4772652699545242,0.8951942071882522,5.247052513368544e-09,1.4595513703652036e-08
GPyTorch-Cholesky-MKL,gpt-chol-cpu,500,ok,0.005932167000537447,0.011176683000485355,0.012091859999600274,,0.15676970799995615,-463.2219827664599,-0.9918444558788644,True,0.34018097702922834,0.9467541614405263,9.371726378049062e-09,9.542383712889635e-09
GPyTorch-Cholesky-MKL,gpt-chol-cpu,1000,ok,0.025892921999911778,0.06204195200007234,0.04141530600008991,,0.7280219980002585,-512.857371900413,-0.7274707938319804,True,0.21110004037876273,0.9794958270917652,1.706234388620942e-08,1.57079706665226e-08
GPyTorch-Cholesky-MKL,gpt-chol-cpu,2000,ok,0.17476822800017544,0.37346540199996525,0.27026200799991784,,4.5031263410000975,-60.62685463824505,-0.4481605436841396,True,0.09552206945051246,0.9958017038740185,3.598244330760281e-08,2.070853694661393e-08
GPyTorch-Cholesky-MKL,gpt-chol-cpu,4000,ok,0.8131367360001605,2.084478613000101,1.3770732289995067,,22.460675169999377,2183.768340296164,-0.12066065994186453,True,0.04214301809856864,0.9991828215747482,8.67323021793709e-08,4.0759879453655646e-08
GPyTorch-Cholesky-MKL,gpt-chol-cpu,8000,ok,3.7461745009995866,11.321742547999747,6.938378642999851,,26.12509808899995,9751.608223848085,0.273520377964973,True,0.021679660561626346,0.999783742798273,2.482905927081447e-07,5.242679098949094e-08
